root cubes at depth 2 (rule (a) only): open=25339 short(stop)=154 total=25493
to run: 25493 cubes (0 already journaled; skipped {}; retry=['error'])
solver: cadical /Users/jiaruixu/work_space/smp-max/cadical-src/build/cadical (Version 3.0.1 c60730422e758ef1cebe7aeddf2dda31c996bf04)
base formula: 84882 vars, 2709212 clauses, 48.7 MB, sha256 28421fb68b0f494b..., built in 1.9s
journal header written: base_sha256=28421fb68b0f494b99d1918aa64cff248443161dc7a6c220e0c3e895a67df59b solver=cadical (Version 3.0.1 c60730422e758ef1cebe7aeddf2dda31c996bf04)
[91/25493   358.8s] 0,4,2,1,3;0,2,1,4,3: verified [cadical] solve=4.53s lrat=166.7MB cake=8.55s cnf_sha=f8458bd49c58
[92/25493   360.3s] 0,5,4,2,3,1;0,2,1,4,3: verified [cadical] solve=1.33s lrat=65.6MB cake=4.45s cnf_sha=33bb1d430eb5
[93/25493   360.7s] 0,5,4,1,2,3;0,4,3,1: verified [cadical] solve=5.7s lrat=216.4MB cake=9.93s cnf_sha=6075fa168a67
[94/25493   371.2s] 0,3,1,5,2,4;0,1,2,3,5,4: verified [cadical] solve=0.73s lrat=40.1MB cake=9.91s cnf_sha=e8979cde04a4
[95/25493   371.4s] 0,1,4,3,2,5;0,3,2,5,1,4: verified [cadical] solve=1.04s lrat=45.9MB cake=9.46s cnf_sha=288a29277090
[96/25493   371.6s] 0,4,5,1,3,2;2,4,5,3: verified [cadical] solve=6.25s lrat=209.6MB cake=12.52s cnf_sha=121dab98fc52
[97/25493   371.8s] 0,2,5,3,1,4;1,2,3,4,5: verified [cadical] solve=1.8s lrat=90.3MB cake=10.9s cnf_sha=eb42a233baad
[98/25493   379.1s] 0,1,5,3,4,2;0,1,3,4,2: verified [cadical] solve=1.46s lrat=65.9MB cake=5.48s cnf_sha=039701b47279
[99/25493   379.6s] 0,5,4,2,1,3;0,5,1,4,2: verified [cadical] solve=1.22s lrat=62.0MB cake=6.77s cnf_sha=beb1a71235e8
[100/25493   379.6s] 0,1,3,5,2,4;0,5,1,2,3: verified [cadical] solve=1.09s lrat=57.8MB cake=6.58s cnf_sha=5dc56437df31
[101/25493   381.8s] 0,2,3,1,5,4;1,4,2: verified [cadical] solve=19.28s lrat=643.8MB cake=30.03s cnf_sha=37952982fe2a
[102/25493   392.6s] 0,3,4,2,5,1;0,5: verified [cadical] solve=129.07s lrat=4449.9MB cake=249.21s cnf_sha=ac023a1a336d
[103/25493   393.5s] 0,4,1,2,3;0,4,5,3,1: verified [cadical] solve=6.26s lrat=248.5MB cake=7.2s cnf_sha=73cc95e482b5
[104/25493   398.6s] 0,3,2,1,4,5;0,1,5,2,4: verified [cadical] solve=2.21s lrat=102.2MB cake=3.24s cnf_sha=4b101d4b56ed
[105/25493   402.4s] 0,2,5,4,1,3;2,5,4: verified [cadical] solve=14.83s lrat=512.9MB cake=15.62s cnf_sha=e646457e5908
[106/25493   405.1s] 0,1,4,5,2,3;0,1,5,2,4,3: verified [cadical] solve=0.66s lrat=39.6MB cake=5.48s cnf_sha=a662da83383c
[107/25493   410.4s] 0,5,4,2,3,1;1,2,5,4,3: verified [cadical] solve=2.13s lrat=88.0MB cake=5.37s cnf_sha=0926caf7ba57
[108/25493   424.6s] 0,4,2,1,3;0,1,5,2: verified [cadical] solve=16.13s lrat=554.4MB cake=26.14s cnf_sha=506cc977bac1
[109/25493   433.3s] 0,1,5,3,2,4;0,2,5: verified [cadical] solve=20.8s lrat=719.9MB cake=32.61s cnf_sha=29ae62eaec84
[110/25493   433.5s] 0,1,4,3,5,2;1,4,5: verified [cadical] solve=18.42s lrat=681.9MB cake=35.0s cnf_sha=092d88eddac1
[111/25493   434.9s] 0,4,1,3,2;0,4,1,3,2,5: verified [cadical] solve=1.53s lrat=77.0MB cake=8.48s cnf_sha=9e5e4df49426
[112/25493   437.6s] 0,1,4,5,3,2;2,5: verified [cadical] solve=123.53s lrat=4102.1MB cake=229.91s cnf_sha=6e85b84ece86
[113/25493   440.5s] 0,4,1,5,2,3;0,2,3,1,5: verified [cadical] solve=1.63s lrat=91.4MB cake=3.48s cnf_sha=44ad25062ac8
[114/25493   440.9s] 0,2,3,4,1,5;0,3,4: verified [cadical] solve=15.6s lrat=525.9MB cake=19.53s cnf_sha=8ba143f7694a
[115/25493   441.1s] 0,1,5,4,3,2;1,4: verified [cadical] solve=123.28s lrat=4373.0MB cake=252.15s cnf_sha=7c3567db7a93
[116/25493   441.9s] 0,4,2,5,1,3;3,5,4: verified [cadical] solve=20.92s lrat=667.4MB cake=26.93s cnf_sha=fccfbe6bafad
[117/25493   443.3s] 0,2,3,4,1,5;0,4,2,1: verified [cadical] solve=4.25s lrat=194.8MB cake=5.37s cnf_sha=3465dcb1a13e
[118/25493   445.0s] 0,4,5,2,1,3;1,3,5: verified [cadical] solve=15.38s lrat=530.6MB cake=18.75s cnf_sha=6161bb5501ba
[119/25493   446.8s] 0,1,4,2,5,3;0,4,5,3: verified [cadical] solve=4.24s lrat=162.5MB cake=4.55s cnf_sha=239cf383ffec
[120/25493   448.9s] 0,5,4,2,1,3;0,5,3,4,1: verified [cadical] solve=1.01s lrat=48.3MB cake=2.48s cnf_sha=9797d5299da3
[121/25493   449.7s] 0,3,4,1,2,5;1,2,5,3: verified [cadical] solve=3.9s lrat=161.3MB cake=4.47s cnf_sha=7e3370c03cb4
[122/25493   452.2s] 0,3,5,4,1,2;1,2,4,3: verified [cadical] solve=5.41s lrat=201.9MB cake=5.26s cnf_sha=75591d259ab5
[123/25493   452.6s] 0,5,1,4,2,3;0,1,3,4: verified [cadical] solve=5.1s lrat=189.4MB cake=5.08s cnf_sha=571322c171c5
[124/25493   453.6s] 0,2,3,1,5,4;0,1,2,4,3: verified [cadical] solve=1.01s lrat=54.6MB cake=2.62s cnf_sha=a411115380a2
[125/25493   453.8s] 0,5,3,2,4,1;0,2,1,5,3: verified [cadical] solve=1.47s lrat=76.7MB cake=2.99s cnf_sha=c28aa9ce4977
[126/25493   454.2s] 0,3,1,4,2;0,5,3,1,2: verified [cadical] solve=3.22s lrat=134.6MB cake=3.85s cnf_sha=33516b936c42
[127/25493   455.2s] 0,3,4,2,5,1;0,5,4,1: verified [cadical] solve=5.87s lrat=208.2MB cake=5.55s cnf_sha=d57545a20784
[128/25493   456.7s] 0,1,3,4,5,2;1,4,5,3,2: verified [cadical] solve=1.32s lrat=75.1MB cake=2.84s cnf_sha=491f4cb83284
[129/25493   459.1s] 0,3,1,2,4,5;0,2,5,3,4: verified [cadical] solve=1.79s lrat=97.8MB cake=3.17s cnf_sha=8b1d36400d58
[130/25493   459.3s] 0,2,4,1,3,5;1,2,4,3,5: verified [cadical] solve=1.77s lrat=87.2MB cake=3.07s cnf_sha=20d07ae58bba
[131/25493   459.9s] 0,1,2,3,5,4;0,3,5,1,2,4: verified [cadical] solve=0.71s lrat=36.9MB cake=2.25s cnf_sha=373eb9b503ed
[132/25493   460.8s] 0,2,3,5,1,4;1,4,3,5: verified [cadical] solve=2.98s lrat=133.1MB cake=3.78s cnf_sha=dde424743a2f
[133/25493   462.4s] 0,4,3,1,2;1,5,2,4: verified [cadical] solve=11.67s lrat=393.4MB cake=9.71s cnf_sha=b2ca241795ef
[134/25493   462.4s] 0,4,3,2,5,1;1,4,2,5: verified [cadical] solve=3.06s lrat=131.7MB cake=3.73s cnf_sha=2cd40caa2c27
[135/25493   462.4s] 0,4,3,2,1,5;0,2,4,1,3,5: verified [cadical] solve=0.68s lrat=43.9MB cake=2.32s cnf_sha=37f8b04a784f
[136/25493   464.0s] 0,4,3,1,5,2;0,4,3,1,5: verified [cadical] solve=1.1s lrat=58.7MB cake=2.71s cnf_sha=4f06d3aba606
[137/25493   464.2s] 0,4,2,3,1,5;0,2,3,5,4,1: verified [cadical] solve=0.79s lrat=43.8MB cake=2.31s cnf_sha=23ee50acf4b1
[138/25493   465.7s] 0,2,4,3,1,5;0,3,2,1,5,4: verified [cadical] solve=0.67s lrat=40.4MB cake=2.29s cnf_sha=262e2a5c65b2
[139/25493   465.9s] 0,3,1,5,2,4;0,3,4,1,5,2: verified [cadical] solve=0.72s lrat=49.4MB cake=2.45s cnf_sha=d176e252220e
[140/25493   466.5s] 0,3,4,1,5,2;1,5,4,2,3: verified [cadical] solve=1.07s lrat=57.7MB cake=2.62s cnf_sha=e5b02e5c9dd8
[141/25493   467.5s] 0,4,5,3,2,1;0,4,1,5: verified [cadical] solve=3.6s lrat=144.3MB cake=4.11s cnf_sha=1fb88290c60b
[142/25493   468.1s] 0,2,3,1,4;0,5,1,2,3,4: verified [cadical] solve=1.12s lrat=61.4MB cake=2.69s cnf_sha=94a5f25ee3e5
[143/25493   470.0s] 0,2,1,3,5,4;0,2,5,1,3: verified [cadical] solve=1.18s lrat=63.2MB cake=2.67s cnf_sha=1f368b884ee9
[144/25493   470.0s] 0,5,2,1,3,4;0,1,4,5,3,2: verified [cadical] solve=0.79s lrat=43.4MB cake=2.31s cnf_sha=9fcbdcb6d48f
[145/25493   472.0s] 0,1,2,4,3,5;0,3,1,5,2: verified [cadical] solve=1.08s lrat=57.9MB cake=2.52s cnf_sha=fbcd918725d1
[146/25493   472.6s] 0,2,4,5,3,1;0,4,3,2,5: verified [cadical] solve=1.64s lrat=88.2MB cake=3.01s cnf_sha=06d2b50d11e6
[147/25493   476.1s] 0,2,3,4,1;0,2,1,3,4,5: verified [cadical] solve=1.08s lrat=64.2MB cake=2.64s cnf_sha=a505b5d0c16b
[148/25493   479.2s] 0,1,2,3,4;0,5: verified [cadical] solve=186.49s lrat=5159.6MB cake=221.05s cnf_sha=a778bccdcac7
[149/25493   479.4s] 0,1,2,4,5,3;0,1,5,3,2,4: verified [cadical] solve=0.73s lrat=42.2MB cake=2.26s cnf_sha=8bdbb678af78
[150/25493   480.6s] 0,2,4,3,1;1,5,4,3,2: verified [cadical] solve=5.16s lrat=190.7MB cake=5.04s cnf_sha=fd27248193d0
[151/25493   482.7s] 0,1,2,4,3,5;0,1,2,5: verified [cadical] solve=4.45s lrat=197.0MB cake=5.08s cnf_sha=9baf22616781
[152/25493   482.7s] 0,3,4,1,5,2;0,3,1,5,2,4: verified [cadical] solve=0.69s lrat=44.0MB cake=2.29s cnf_sha=51eecd80fabc
[153/25493   483.5s] 0,1,2,4,3,5;0,3,2,4,5: verified [cadical] solve=1.29s lrat=57.6MB cake=2.62s cnf_sha=297cf244ae8e
[154/25493   484.5s] 0,3,4,2,1;0,2,5,3,1: verified [cadical] solve=7.04s lrat=282.4MB cake=7.12s cnf_sha=52b4baebd142
[155/25493   486.2s] 0,3,4,2,5,1;0,5,4,1,3,2: verified [cadical] solve=0.74s lrat=45.5MB cake=2.31s cnf_sha=ac187b017bab
[156/25493   487.8s] 0,4,5,3,1,2;0,5,1,2,3: verified [cadical] solve=1.74s lrat=92.1MB cake=3.09s cnf_sha=1da7f6a33597
[157/25493   487.8s] 0,3,1,2,5,4;1,4,2,5,3: verified [cadical] solve=1.19s lrat=68.8MB cake=2.77s cnf_sha=53b9daeabc9c
[158/25493   490.1s] 0,3,4,1,5,2;1,3,5,2: verified [cadical] solve=4.31s lrat=181.1MB cake=4.68s cnf_sha=7c665badb050
[159/25493   491.3s] 0,2,1,4,3,5;0,3,5,2,1: verified [cadical] solve=1.71s lrat=83.7MB cake=2.98s cnf_sha=1b57d7771328
